ID_GRUPO,TITULO
551961,Traficando con la blanca
552119,Rust and Bone (aka De rouille et dos)
552191,"Back-Up Plan, The (2010)"
552205,"prisión del tiempo, La"
552211,"Guns of Navarone, The"
552212,Suddenly
552251,"Chase, The"
552308,Evil Dead (2013)
552314,Annie: A Royal Adventure
552359,Titanic (1953)
552362,Guardianes de la justicia
552371,Commando
552406,Sherlock Holmes and the Secret Weapon
552408,Chin-chin la migra
552460,"Last Time I Saw Paris, The"
552461,Detour
552525,División narcóticos
552607,"Walk in the Clouds, A"
552702,"Medallion, The"
552709,Bram Stokers Dracula
552745,Dear John (2010)
552746,Freedomland
552920,Deadly Crossing
553022,Solaris
553400,BIngo
553520,Dance With Me
553543,White Zombie
553688,Kansas City Confidential
553740,Fast and Furious 6
553761,Identity Thief
553781,"Woman In Black, The"
553821,Walzes from Vienna (Aka Strauss Great Waltz)
554000,Jamaica Inn
554202,House on Haunted Hill (1959)
554222,"Hunt For Eagle One, The"
554241,Hunt For Eagle One: Crash Point
554260,"Brujas, narcos y judas"
554620,Step Up Revolution (AKA Step Up 4 Miami Heat)
554640,Stranger Than Fiction
554661,"Pitazo, El"
555240,"Phantom Planet, The"
555360,Yonkers Joe
556080,"máscara roja, La"
556101,"Venganza del Charro Negro, La"
556120,"última lucha, La"
556121,Los descabezados
556180,Gold
557136,Karaoke - Britney Spears - Womanizer
557167,Vertigo
557180,Karaoke - Enrique Iglesias y Juan Luis Guerra - Cuando me enamoro
557420,Karaoke - Bad Meets Evil feat. Bruno Mars - Lighters
557560,"Amore, piombo e furore (Aka China 9, Liberty 37)"
557561,"Driller Killer, The"
557570,Rescue from Gilligans Island
557571,Rocketship X-M
557720,Karaoke - Ace of Base - All That She Wants
557821,"Wolfman, The"
559500,Missing
559820,Karaoke - Don Omar - Zumba
560080,Karaoke - Ricky Martin - Livin la vida loca
560781,Leap Year
560945,Jumanji (1995)
561120,Atracción Mortal
561200,Revancha salvaje
561220,Dragon: The Bruce Lee Story
561403,Karaoke - Los Rancheros - Casualidad
561520,Karaoke - Don Omar Feat. Lucenzo - Danza Kuduro
561700,Karaoke - Beyonce - Halo
561900,Iron Man 3
561920,World War Z
561960,"Resident, The (2011)"
562040,Superbad
562262,"Amantes pasajeros, Los (aka Im So Excited)"
562362,Black Swan
562371,Van Helsing
562423,Donnie Darko
562456,Rookie of the Year
562649,Rabbit Hole
562653,Prey
562702,Midnight in Paris
562760,Cheaper by the Dozen (2003)
562785,Cause of Death
562801,"Escape de Hitler, El"
562840,Bounty Hunters 2 (AKA Hard Ball)
562884,"Edge, The"
562962,"Crucible, The"
563088,Afterglow
563320,Home Team
563440,Quarantine 2: Terminal
563459,Love on the Side
563560,Christmas is Here Again
565480,"Flintstones, The"
565481,Midnight Run
565765,"Search for Santa Paws, The"
565767,"Smurfs 2, The"
565901,After Earth
565944,"Incredibles, The"
565946,Like Mike
565960,"Wolverine, The"
566080,Despicable Me 2
566134,Edward Scissorhands (1990)
567193,"Secret of My Success, The"
567396,Terror by Night
567397,"Woman in Green, The"
567440,Casino
567645,Grown Ups 2
567760,Karaoke - Gloria Estefan - Cómo me duele perderte
568301,Big
569037,"Lone Ranger, The"
569281,Big Fish
569301,28 Days
569647,Before Midnight
570079,White House Down
570227,Gothika
570230,La Ciociara (Aka Two Women)
570475,Karaoke - Aerosmith - What Could Have Been Love
570481,Karaoke - Alejandro Sanz - No me compares
570524,Karaoke - Aerosmith - Dream On
570551,Gangs of New York
570586,Pain & Gain
570800,Spider-Man (2002)
570807,"Deep Blue Sea, The"
570843,Percy Jackson: Sea of Monsters
570844,Elysium
570861,"Heat, The"
570904,"Knights Tale, A"
570941,Dr. Seuss How the Grinch Stole Christmas
571061,Song For Marion (aka Unfinished Song)
571142,Johnson Family Vacation
571300,"Mortal Instruments, The: City of Bones"
571541,Karaoke - Arcángel - Me prefieres a mi
571720,Homeboy
572821,13 Ghosts (aka Thir13en Ghosts) (2001)
573300,Karaoke - Axel - Te voy a amar
573302,Open Season (2006)
573304,"Mask of Zorro, The"
573310,Predators
573313,Karaoke - Thalia - Que Será De Ti
573320,Karaoke - Jennifer Lopez - Papi
573321,"FIFA 2006 World Cup Film, The: The Grand Finale"
573343,Hitch (2005)
573344,Karaoke - Rosana - Si tú no estás aquí
573360,Stuart Little
573484,Karaoke - Glee - Baby One More Time
573530,In the Name of the King
573720,Finding Nemo
573820,Monsters University
574023,Digging to China
574025,Croupier
574051,Grease
574321,Cookies Fortune
574540,Butterfly on a Wheel
574610,Trainspotting
575119,Dorian (aka Pact with the Devil)
575228,Wall Street: Money Never Sleeps
575230,127 Hours
575277,Shallow Grave
575279,American Yakuza
575430,Cloudy With a Chance of Meatballs 2
575440,Bullfighter
575481,Hyde Park on Hudson
575489,Half Baked
575940,Thick As Thieves
576260,"Hungover Games, The"
576264,R.I.P.D. Rest in Peace Department
576444,3096 Days
576820,Kick-Ass 2
577260,"40 Year-Old Virgin, The"
577742,Gambit
577761,Dragon Ball Z: Battle of Gods
578082,500 Days of Summer
578102,Anna Nicole
578211,This Is the End
578320,Adam
578433,Public Enemies
578506,Karaoke - Eddie Vedder - No Ceiling
578509,Karaoke - Ewan McGregor and Nicole Kidman - Come What May
578524,Karaoke - Ed Helms - Stus Song
578548,Captain Phillips
578568,Insidious: Chapter 2
580101,"American Tail, An"
581002,Domingo trágico
581003,Drop Dead Fred
581041,Dracula (1979)
581620,Despicable Me
582322,Trooper and the Legend of the Golden Key
582661,Chiflando en la loma
582664,Corazón de niño
582665,Cuando México canta
582666,Cuatro copas
583492,Cuestión de fe
583519,Far and Away
583748,"Colony, The"
583863,"Fifth Estate, The"
583866,Thor: The Dark World
584307,"tesoro de las brujas, El"
584627,preso de zacatecas (Aka presidiario)
584641,"monstruo resucitado, El (Dr. Crimen)"
584662,"Bronco Reynosa, El"
584663,"pozo, El"
584700,Enders Game
585203,"jinete negro, El"
585240,"homicida, El"
585360,Born on the Fourth of July
585386,Scott Pilgrim Vs. The World
